census_tract,num_bll_indicator,perc_bll_indicator,num_bll,tract_name,imprisonment_rt,total_pop_2020,male_population,median_age,white,black,native_am,asian,pac_islander,other_race,age_0_to_14,age_15_to_29,age_30_to_44,age_45_to_64,perc_male,med_income,POC_other,race_categorical
06067008139,1,0.6944444444444444,144,"Sacramento County, Census Tract 81.39",157,3818,1798,33.7,61.3,5.5,1.4,6,1,10.8,16.7,26.299999999999997,22.4,20.3,47.092718700890515,50897,17.700000000000003,below_median_poc_other
06071001501,5,1.36986301369863,365,"San Bernardino County, Census Tract 15.01",251,3974,2035,30.7,16.6,1.3,5.2,1.6,0.3,57,25.1,23.8,23.1,21.1,51.207851031706085,57813,63.5,above_median_poc_other
06037573800,1,0.6451612903225806,155,"Los Angeles County, Census Tract 5738",251,4371,2090,42.5,61,2.5,0.9,8.4,0.5,7.5,17.700000000000003,16.5,19.3,30.4,47.81514527568062,111306,10.9,below_median_poc_other
06061021048,2,4.166666666666666,48,"Placer County, Census Tract 210.48",203,3439,1676,40.1,65.4,2.7,1.1,12.2,0.3,5.7,18.2,20.1,20,30.1,48.73509741203838,155590,9.5,below_median_poc_other
06081604900,0,0,46,"San Mateo County, Census Tract 6049",89,3387,1658,45.4,30.9,0.5,0.1,59.4,0.2,2.2,15.799999999999999,14,19.8,28,48.951874815470916,94211,2.8000000000000003,below_median_poc_other
06037229100,9,2.059496567505721,437,"Los Angeles County, Census Tract 2291",550,4523,2284,30.3,12.4,7.5,3.2,0.4,0.2,60,23.8,25.6,22.5,21.299999999999997,50.49745743975238,53958,70.7,above_median_poc_other
06029002100,16,4.092071611253197,391,"Kern County, Census Tract 21",1017,3504,1800,29.5,18.8,7,2.3,0.6,0,55.1,26.8,24.3,18.799999999999997,21.499999999999996,51.369863013698634,35368,64.4,above_median_poc_other
06059087106,10,3.215434083601286,311,"Orange County, Census Tract 871.06",436,4793,2346,37.7,27.1,1.6,2.6,15.6,0.5,37.8,18,22.6,18.3,24.1,48.946380137700814,45327,42,above_median_poc_other
06071003503,7,1.7369727047146404,403,"San Bernardino County, Census Tract 35.03",547,5641,2721,34,18.6,14.1,2.6,3.4,0.2,42.8,20.1,23.900000000000002,20.1,24.4,48.23612834603794,71250,59.5,above_median_poc_other
06071000823,0,0,305,"San Bernardino County, Census Tract 8.23",306,6839,3213,32.8,34.3,10.8,1.6,8.2,0.2,26.9,20.2,24.1,24.4,21,46.980552712384856,61855,39.3,above_median_poc_other
06037540400,4,1.9801980198019802,202,"Los Angeles County, Census Tract 5404",891,2224,1130,30.9,7.1,8.4,1.7,0.4,0.3,65.6,23.3,25.099999999999998,21.4,23.1,50.80935251798561,46033,75.69999999999999,above_median_poc_other
06019006407,1,2,50,"Fresno County, Census Tract 64.07",185,2703,1382,46.9,75.6,0.7,4.9,2,0,4.7,19.1,14.8,14.2,30,51.128375878653344,101042,10.3,below_median_poc_other
06073009107,0,0,91,"San Diego County, Census Tract 91.07",261,5739,2882,28.5,57.6,5.1,0.5,14.7,0.5,8.3,6.6,47.900000000000006,24.5,13.200000000000001,50.21780798048441,66346,13.9,below_median_poc_other
06013351105,0,0,0,"Contra Costa County, Census Tract 3511.05",0,1723,533,78.2,80.4,0.6,0.1,13.9,0.2,0.6,0.7,0.7,0.8,9.5,30.934416715031922,41853,1.2999999999999998,below_median_poc_other
06037404402,3,1.2295081967213115,244,"Los Angeles County, Census Tract 4044.02",375,5042,2544,36.1,24.5,1.2,2.8,11.9,0.2,38.1,17.3,23.799999999999997,21.6,25.1,50.45616818722729,65769,42.1,above_median_poc_other
06075021700,0,0,129,"San Francisco County, Census Tract 217",166,4222,2078,46.3,53.4,7.9,0.9,20.9,0.2,4.1,15.2,11.8,20.7,28.9,49.21837991473235,141364,12.9,below_median_poc_other
06037211121,3,2.2556390977443606,133,"Los Angeles County, Census Tract 2111.21",246,2431,1176,33.7,18.2,8.3,2.9,28.6,0,31.5,15,26.9,25.2,21.799999999999997,48.3751542575072,65912,42.7,above_median_poc_other
06107001012,6,2.0202020202020203,297,"Tulare County, Census Tract 10.12",242,10311,5091,30.1,42.1,2.4,1.6,9,0.1,25.6,28.3,21.5,25.5,17.7,49.37445446610416,75054,29.6,above_median_poc_other
